rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold
Tfec,2.82636190370841e-66,-0.257681817903291,0.248,0.328,9.11897404612482e-62,-1.19555609136041
Add3,9.74787806357165e-63,-0.258812031323553,0.487,0.562,3.14505537843076e-58,-1.19649306204382
Gas2,1.04352132080296e-84,-0.259328451465244,0.859,0.88,3.36681718943867e-80,-1.19692142957911
Gm12940,7.10578639853256e-89,-0.259663477033789,0.176,0.266,2.29261092362255e-84,-1.19719941337688
Zc3h12c,1.78658771951268e-65,-0.25973919971654,0.543,0.62,5.76424661823571e-61,-1.19726225238855
Msn,8.08089209582949e-203,-0.259894245484177,0.094,0.225,2.60721902579843e-198,-1.19739092852238
Prdm5,9.53636595424865e-29,-0.259931243716976,0.228,0.28,3.07681311147879e-24,-1.19742163627082
Aldh8a1,8.51993702414562e-57,-0.260950366465832,0.596,0.636,2.74887248147034e-52,-1.19826779621076
Ccdc107,5.30651643554562e-136,-0.260992026406348,0.314,0.465,1.71209446276444e-131,-1.1983023984548
Osbpl6,3.86590363001838e-83,-0.261987925118674,0.898,0.908,1.24729514718913e-78,-1.19912987742781
Exoc4,2.48024448593885e-86,-0.262558181712198,0.852,0.89,8.00226080943311e-82,-1.19960395328116
Pde4c,4.09931803903541e-56,-0.26291093096703,0.487,0.545,1.32260397211439e-51,-1.19989730088796
Adgrl2,2.07415917929178e-53,-0.262992788082152,0.434,0.497,6.69206717606701e-49,-1.19996538382664
Dock4,2.38891380708098e-51,-0.263708212594139,0.715,0.757,7.70759150716607e-47,-1.20056058760767
Gm45645,2.70877498290649e-62,-0.264324726891516,0.144,0.218,8.7395916048495e-58,-1.20107373897886
1700012D14Rik,5.92718721539912e-75,-0.264650314286779,0.274,0.368,1.91234768317637e-70,-1.20134482787084
Zc3h6,3.09362488770913e-64,-0.265474119964356,0.22,0.297,9.98127133770473e-60,-1.2020310139857
Ksr2,7.99650539220659e-55,-0.265510882092505,0.565,0.618,2.57999249974153e-50,-1.20206164400794
Gpm6a,6.01031723905474e-30,-0.265889653986363,0.457,0.517,1.93916875400862e-25,-1.20237728031845
Iqgap1,0,-0.266064284664601,0.05,0.197,0,-1.20252283059937
Pacsin2,4.21597390154231e-70,-0.266826805731632,0.512,0.572,1.36024181959361e-65,-1.2031585792021
Skap2,1.10335161735613e-46,-0.267341048213703,0.462,0.505,3.55985365823783e-42,-1.20358751637792
Qk,1.20608418134104e-78,-0.268004388612631,0.67,0.729,3.89131000267874e-74,-1.20414104416808
Pth1r,1.74732286047687e-70,-0.268779884875612,0.371,0.465,5.63756247704259e-66,-1.20478848376854
Pabpn1,2.00841704459925e-54,-0.268928568290028,0.585,0.625,6.47995675269501e-50,-1.20491265505303
Vps13a,6.92205018492467e-101,-0.269108429969284,0.875,0.904,2.2333302716641e-96,-1.20506288162003
Gm49797,2.9699533657636e-66,-0.269250861790499,0.321,0.399,9.58225753929969e-62,-1.20518185879051
Tomm20,4.91766537942582e-223,-0.269289507324872,0.118,0.267,1.58663555801795e-218,-1.20521414248141
Hnrnpu,4.67043597656908e-64,-0.269329369039093,0.636,0.717,1.50686946348025e-59,-1.20524744305018
Ugt2b5,5.1124120601282e-143,-0.270567552179493,0.058,0.148,1.64946862707976e-138,-1.20628228242398
Lamp1,2.02420416369206e-125,-0.271213946747984,0.251,0.38,6.53089231373605e-121,-1.20682287416239
Smarca2,9.08719250730805e-69,-0.271861737261275,0.813,0.844,2.93189179055787e-64,-1.20736487640525
Micos10,8.34018625462179e-194,-0.271983058533407,0.111,0.245,2.69087769319117e-189,-1.20746641220992
Cyp2d9,5.06158121812414e-130,-0.273435664580714,0.144,0.259,1.63306856421557e-125,-1.20868278592038
Ddx17,5.01368336539009e-76,-0.27407990484055,0.753,0.808,1.61761480100946e-71,-1.20922264776049
Rb1,4.5822299787716e-63,-0.274225399066977,0.472,0.53,1.47841068035087e-58,-1.2093446026993
Pepd,4.55551625112304e-61,-0.274361358699028,0.575,0.637,1.46979176326234e-56,-1.20945857674812
Gsap,2.1859982228039e-58,-0.274451812129554,0.229,0.305,7.05290466605449e-54,-1.20953440920325
Sypl,2.35487585652833e-67,-0.275229411977204,0.366,0.44,7.59777146350301e-63,-1.21018651325913
Ank3,1.31254373584296e-150,-0.275449204073225,0.911,0.954,4.23479110932373e-146,-1.21037089712774
Cox7c,5.59087094918637e-105,-0.275810408811564,0.179,0.286,1.80383860304549e-100,-1.21067397326288
Phf14,8.4282460200837e-69,-0.276064477098569,0.643,0.694,2.7192892959198e-64,-1.2108871998562
Hao2,3.81406951795525e-97,-0.276463146613474,0.245,0.357,1.23057138927308e-92,-1.21122185860593
Spats2l,7.09573263791854e-37,-0.276990650770359,0.228,0.283,2.28936717829804e-32,-1.21166480834167
Numa1,5.15983404733422e-69,-0.277010423748724,0.448,0.507,1.66476885703191e-64,-1.21168141502953
Selenbp1,7.28659284005607e-75,-0.278185081681871,0.513,0.583,2.35094631391569e-70,-1.21266838091022
Ptpn13,2.48848838822883e-71,-0.279645139937688,0.621,0.695,8.02885893578149e-67,-1.21389626530095
Sord,3.57805064543441e-116,-0.279795388365492,0.705,0.816,1.15442226024296e-111,-1.21402269222956
Tardbp,5.06979784768393e-63,-0.279999288065341,0.522,0.598,1.63571957757674e-58,-1.21419428521977
Bckdhb,1.94558926116758e-66,-0.28039988891747,0.492,0.564,6.27724919223109e-62,-1.21453148385803
Dgkd,1.74266282411569e-66,-0.280784625077807,0.504,0.559,5.62252733572687e-62,-1.21485541682935
Macf1,7.90249075378521e-95,-0.280969566723702,0.85,0.886,2.54965961680126e-90,-1.21501116129055
Srsf2,5.02568901882888e-88,-0.281429275558602,0.394,0.507,1.62148830503495e-83,-1.21539838128439
Mep1b,6.08609229682738e-63,-0.281640605665068,0.075,0.137,1.96361681864839e-58,-1.21557642936457
Sorl1,0,-0.28203395547838,0.056,0.209,0,-1.21590790062989
Ass1,2.69308614193812e-62,-0.282481655788349,0.626,0.695,8.68897312834915e-58,-1.21628528240578
Gm15716,8.46208958035885e-51,-0.283039857502574,0.181,0.248,2.73020858220698e-46,-1.21675597362758
Lrp6,3.96189060389194e-76,-0.284430801902363,0.689,0.734,1.2782643844397e-71,-1.21792964927424
Gpd2,1.78683826373328e-80,-0.284855863464429,0.374,0.473,5.76505497410906e-76,-1.21828854102637
Rai14,7.41614349071096e-47,-0.284889942465627,0.444,0.494,2.39274453584298e-42,-1.21831731949017
Prpf4b,1.96616729048082e-81,-0.285904139281494,0.839,0.843,6.34364214600731e-77,-1.21917408264762
Ldlr,8.1756944205283e-220,-0.286146396563437,0.027,0.125,2.63780604783925e-215,-1.21937882349055
Hibadh,1.50308820686174e-80,-0.28709298111708,0.702,0.766,4.84956379061873e-76,-1.22017914779508
Ivns1abp,6.21269474913774e-85,-0.287466587844218,0.637,0.721,2.0044638338618e-80,-1.22049517173417
Slc10a2,2.62026888010178e-170,-0.287539498562861,0.108,0.236,8.4540355147604e-166,-1.22055685450578
Abcc2,1.43797604937327e-138,-0.287650243218911,0.908,0.945,4.63948592569793e-134,-1.22065055090962
Aspg,2.15938094025659e-105,-0.288803687796954,0.153,0.253,6.96702666564387e-101,-1.22162685962607
Upb1,9.2992865093683e-94,-0.288818484805067,0.558,0.637,3.00032179938259e-89,-1.22163938931165
St8sia6,1.11377761844954e-72,-0.289527181966714,0.347,0.433,3.59349210816559e-68,-1.22223964440739
BC034090,1.08721748816827e-58,-0.289557914803488,0.385,0.437,3.5077985038261e-54,-1.22226568129704
Cemip2,3.00508120511556e-67,-0.289614312451022,0.327,0.393,9.69559400018484e-63,-1.22231346288255
Ptpn3,1.25069680064798e-67,-0.289781426634723,0.44,0.506,4.03524815761064e-63,-1.22245505742734
Kcnb2,9.62571007057751e-98,-0.291836435597505,0.094,0.177,3.10563909717113e-93,-1.2241975921041
Gm10804,5.68313485647904e-76,-0.291913982172234,0.399,0.475,1.8336066300944e-71,-1.22426339594952
Thrb,2.59907192223283e-98,-0.291961902495313,0.891,0.912,8.385645649892e-94,-1.22430406155809
Eif4g2,1.09795067509076e-84,-0.291993759734007,0.449,0.556,3.54242805811284e-80,-1.22433109663914
Gna14,5.41592388995475e-61,-0.292229444192818,0.312,0.398,1.747393683855e-56,-1.22453112462484
Aadat,1.99577913394522e-16,-0.293227990293927,0.435,0.472,6.43918179776085e-12,-1.22537896425842
Slc28a1,5.32521851230582e-75,-0.293422129688942,0.237,0.32,1.71812850081035e-70,-1.22554387113835
Atp5a1,1.11945989871988e-199,-0.293555316890727,0.045,0.152,3.61182541722982e-195,-1.22565701652867
4932438A13Rik,5.62566874770231e-79,-0.294432380794708,0.615,0.678,1.81506576475867e-74,-1.2264023620952
Nsdhl,1.86753348756816e-114,-0.295128499983648,0.154,0.258,6.02541004428991e-110,-1.22699426003108
Chst11,6.8879608783032e-163,-0.295570215334142,0.402,0.565,2.22233169777574e-158,-1.2273699909812
Mcc,1.35242474928182e-106,-0.29753418409493,0.114,0.208,4.36346321108287e-102,-1.22904197136372
Sdc2,1.2566102835454e-69,-0.297634559046744,0.485,0.576,4.05432741883089e-65,-1.22912748446025
Tdrd3,7.74547235920316e-92,-0.298122468637597,0.314,0.41,2.49899920197331e-87,-1.22954323726331
Acsm2,6.07441016774343e-121,-0.298751262887023,0.881,0.927,1.95984769652074e-116,-1.23007924674744
Glcci1,7.48138226982273e-117,-0.298809940031031,0.202,0.317,2.4137931755356e-112,-1.23012927742119
Upp2,3.2967290916147e-99,-0.29913841058336,0.275,0.377,1.06365667411857e-94,-1.2304093832185
Anks1b,8.27433548896046e-30,-0.302930479020986,0.082,0.12,2.6696316021582e-25,-1.23364772102694
Banp,1.95674020941027e-76,-0.303553626330423,0.359,0.439,6.31322661164129e-72,-1.23418068903695
Dock8,4.49287357088761e-75,-0.306451653635863,0.439,0.521,1.44958072891118e-70,-1.23666235286476
Tulp3,6.2597912589363e-84,-0.30680781000405,0.458,0.546,2.01965905178321e-79,-1.23696768388091
Med14,1.49467654734189e-72,-0.30704317871711,0.441,0.525,4.82242441234386e-68,-1.2371695056341
Dmxl1,9.49615009106968e-134,-0.309150869768745,0.902,0.923,3.06383786538272e-129,-1.23897825710474
Nectin3,1.19470707395805e-80,-0.310206671410449,0.542,0.622,3.85460290341826e-76,-1.2398853053817
Slc22a30,2.67315961977115e-86,-0.310353463432056,0.713,0.811,8.62468219722963e-82,-1.24001146824015
Srsf5,7.94141657840934e-50,-0.310431898332032,0.443,0.501,2.56221864485799e-45,-1.24007888568919
Lmbrd2,6.91150733433597e-96,-0.310596334005242,0.473,0.568,2.22992872635016e-91,-1.24022023560853
Aldh1l1,2.02915597202658e-160,-0.311943023955205,0.394,0.555,6.54686882814657e-156,-1.24137846506544
Oxr1,5.58526459134673e-160,-0.313424323682989,0.921,0.957,1.80202976775211e-155,-1.24265371581691
Cyp7b1,1.75713544252074e-22,-0.314524593687156,0.104,0.142,5.66922179174893e-18,-1.24360178597075
Pkhd1,1.0713178136002e-242,-0.315333497876183,0.971,0.989,3.45649979379968e-238,-1.24429925614466
Lypla1,6.34134181372796e-63,-0.315341792722884,0.618,0.661,2.04597052278119e-58,-1.24430641032552
Dglucy,1.69058313499568e-84,-0.315912244073665,0.497,0.579,5.45449742675006e-80,-1.24479851475785
Herc3,5.52006734609597e-94,-0.316312637655078,0.631,0.71,1.7809945285444e-89,-1.24514403372751
Gm3137,1.17163006682634e-84,-0.316458837405011,0.265,0.361,3.7801472476085e-80,-1.24527022045809
Map2k6,1.90716606247966e-97,-0.316729695513742,0.464,0.566,6.15328058398438e-93,-1.24550403508385
Pecr,1.97504954766799e-70,-0.318222467762131,0.661,0.698,6.372299860596e-66,-1.24679343861894
Patj,3.35594084158376e-114,-0.321319289004018,0.793,0.835,1.08276075312858e-109,-1.24947262118073
Myo9a,3.79416156435092e-65,-0.321467790114576,0.681,0.735,1.22414828712218e-60,-1.24960123992305
Map3k7cl,2.06596521787535e-118,-0.321592006460141,0.378,0.508,6.66563017895304e-114,-1.24970883548379
Kank1,3.97648783532609e-103,-0.32320325651733,0.347,0.447,1.28297403518961e-98,-1.25110533177614
Slc22a22,1.13821162760572e-100,-0.323236377870904,0.323,0.43,3.67232599530708e-96,-1.25113405494809
D630024D03Rik,7.4110380348882e-87,-0.324018378347189,0.224,0.317,2.39109731157633e-82,-1.25181240526489
Lrrk2,4.40771866736137e-160,-0.326458794862852,0.896,0.934,1.42210635083747e-155,-1.25393172283472
Pde3b,2.94448266636208e-174,-0.326819807239972,0.062,0.169,9.50007887475062e-170,-1.25424553933968
Gm38505,3.56813622420151e-77,-0.326987508882278,0.153,0.239,1.15122347137637e-72,-1.25439134372413
March1,2.45661357381085e-59,-0.327451758037732,0.337,0.42,7.92601803454333e-55,-1.25479506302278
Abtb2,2.63612589249136e-104,-0.328212663477743,0.388,0.494,8.50519657953411e-100,-1.25545704091252
Diaph2,4.73328783599537e-94,-0.328282516143033,0.74,0.802,1.52714798740555e-89,-1.25551782932662
Cndp1,2.02300311546809e-89,-0.329265198064736,0.448,0.542,6.52701725174625e-85,-1.25637330808153
Ptprj,1.63441496223889e-123,-0.331914113315437,0.598,0.717,5.27327643416754e-119,-1.25868223926077
Fam214a,4.58859118459081e-127,-0.333155384638538,0.742,0.809,1.48046305979638e-122,-1.25976565497524
B3gat2,6.70130459561203e-88,-0.333609507719927,0.555,0.624,2.16210891472827e-83,-1.26016225903477
Adamts9,4.35368615615517e-89,-0.334006601789319,0.398,0.482,1.40467330142191e-84,-1.26050915967439
Slc5a11,8.65233033987335e-122,-0.335565264437778,0.203,0.316,2.79158786085674e-117,-1.26187172777805
Abat,4.30595399427847e-85,-0.336168563676771,0.496,0.58,1.389272996714e-80,-1.2623995215454
Igf1r,1.30075806982794e-296,-0.336871797546584,0.987,0.996,4.19676583649288e-292,-1.2630150213414
Ccser1,1.87831992537551e-115,-0.33763543653651,0.462,0.607,6.06021140723154e-111,-1.26368373010613
BC024386,8.99843036725592e-102,-0.33842483794341,0.443,0.53,2.90325357369145e-97,-1.26437537085649
Pbld1,2.07809401621935e-115,-0.339641584746438,0.729,0.77,6.70476253393013e-111,-1.26544217539312
Snx7,8.78143289520597e-91,-0.341656020108249,0.521,0.6,2.83324150930926e-86,-1.26721034670659
Nos1ap,4.80624306343301e-93,-0.342943245346727,0.585,0.649,1.55068626198603e-88,-1.26834150264216
5031425E22Rik,1.04540083863611e-118,-0.343045606543496,0.597,0.693,3.37288126577553e-114,-1.26843149640822
Stxbp4,2.56095757211688e-101,-0.343207107101491,0.405,0.493,8.26267351067791e-97,-1.26857349721576
Veph1,7.62879496407092e-108,-0.343450113068973,0.651,0.74,2.46135440720784e-103,-1.26878719233853
Tmbim6,1.06744424480994e-103,-0.344448546923367,0.446,0.553,3.4440021114548e-99,-1.26966557515952
Nat8f1,4.66775968688491e-208,-0.345629094750249,0.098,0.235,1.50600598537655e-203,-1.27070495931958
Pdgfd,3.4871966078186e-154,-0.345960815988698,0.171,0.308,1.12510911354659e-149,-1.27099716818906
Dnase1,7.4358553439574e-181,-0.346039184975482,0.034,0.126,2.39910436817442e-176,-1.27106621220937
Ttc39c,1.29878719893853e-111,-0.347028920929128,0.417,0.524,4.19040701865528e-107,-1.27193850435297
Syne2,1.0455426971401e-206,-0.347403902933733,0.889,0.943,3.37333895805283e-202,-1.27226914667609
Slit2,5.27745209601742e-254,-0.347691782790277,0.023,0.131,1.70271714425906e-249,-1.27252304455047
Tmem25,1.06820110399055e-184,-0.347820187666039,0.143,0.277,3.44644404191512e-180,-1.27263630856713
Nfib,1.29440204937938e-119,-0.34789211502256,0.757,0.84,4.17625877211762e-115,-1.27269975901563
Pdgfc,1.31109680306036e-105,-0.348457111701518,0.366,0.478,4.23012272539394e-101,-1.27319827875721
Mme,5.05449662249804e-212,-0.348903800735212,0.108,0.251,1.63078279028277e-207,-1.27359254902658
Itga1,2.12660202999064e-116,-0.348977737439401,0.474,0.571,6.86126878956182e-112,-1.27365782106666
Svopl,1.70316595339626e-126,-0.349134269450019,0.703,0.782,5.4950946320377e-122,-1.27379602008309
Cyp51,1.93772373529689e-225,-0.350196083945709,0.067,0.196,6.25187185956189e-221,-1.27473387104336
Hsp90ab1,2.62530243153058e-223,-0.352156633850856,0.21,0.39,8.47027576509025e-219,-1.27646734776437
Ankib1,2.80199644704328e-148,-0.356337034284643,0.833,0.877,9.04036133674043e-144,-1.28017144535213
Cat,2.82622211707732e-117,-0.356884954662304,0.516,0.614,9.11852303853825e-113,-1.28065773331808
Slc6a18,1.38627619589077e-122,-0.357105948371727,0.482,0.621,4.47268151842198e-118,-1.28085392098944
Sestd1,4.91833290221597e-118,-0.357567739708298,0.597,0.685,1.58685092757096e-113,-1.2812639743284
Slc12a7,1.64006224615618e-120,-0.358926509754631,0.302,0.408,5.29149683099828e-116,-1.28247127258063
Lrpap1,1.71461729079755e-157,-0.361887510219189,0.303,0.433,5.53204122702921e-153,-1.2851061313004
Fmnl2,0,-0.362909503488092,0.022,0.176,0,-1.28601681240682
Reps2,1.46183420172569e-103,-0.367025461868214,0.469,0.567,4.71646186844776e-99,-1.28969101198235
Slc6a15,1.07630525715139e-42,-0.369601666233773,0.217,0.283,3.47259128167324e-38,-1.29199605620158
Ugt3a1,2.76316542490937e-139,-0.373082463397577,0.202,0.326,8.9150769269276e-135,-1.29511702468445
Pkp4,1.38055105872977e-197,-0.375610534942255,0.881,0.931,4.45420993588574e-193,-1.29738848106839
Rfx3,3.56198612776914e-141,-0.375795379966225,0.46,0.588,1.14923920426344e-136,-1.2975547193668
Oxct1,1.23785428058639e-168,-0.376599323643025,0.416,0.581,3.99381305088393e-164,-1.29827798491339
Egr1,8.48164185806433e-114,-0.379462907367597,0.046,0.119,2.73651692908588e-109,-1.3008574765422
Hsph1,5.11548415752988e-146,-0.380701533004001,0.293,0.414,1.65045980858544e-141,-1.30197480712989
Cntnap5a,2.07985120051705e-80,-0.383865504058931,0.054,0.117,6.71043191334822e-76,-1.30483329830502
Wnk1,1.42982894001642e-138,-0.387988044117797,0.528,0.655,4.61320009206897e-134,-1.30856722707002
Ugt3a2,3.26454274580115e-168,-0.390008642270511,0.674,0.763,1.05327207150528e-163,-1.31040125361723
Impa1,8.32949597285564e-143,-0.390568802774068,0.49,0.592,2.68742858068214e-138,-1.3109101467145
Hnf4aos,2.15154628530432e-227,-0.391505726039926,0.892,0.941,6.94174893490585e-223,-1.31176176198105
Etnk1,1.91500443670427e-85,-0.396186322042077,0.338,0.439,6.17857031458267e-81,-1.31602447677055
Ces1f,2.48005595185959e-99,-0.399653248401427,0.524,0.612,8.00165252307977e-95,-1.31919080529751
Acss2,1.16964308456385e-132,-0.399836409698538,0.669,0.737,3.77373644803682e-128,-1.31935829740839
Arhgap24,1.18496431704272e-148,-0.400395389430898,0.667,0.778,3.82316887250662e-144,-1.31986958871984
Gm6999,2.77067302922975e-158,-0.403855776199385,0.661,0.761,8.93929946150685e-154,-1.32303917129263
St8sia1,1.49954513618714e-157,-0.404462916242017,0.54,0.665,4.83813242739417e-153,-1.32359607284345
Snx29,0,-0.405014227359223,0.993,0.998,0,-1.32410196816639
Sh3gl2,7.72008194998112e-81,-0.409105837768843,0.329,0.431,2.49080724034191e-76,-1.32786256833582
Apbb2,2.23140355972155e-194,-0.409465578940066,0.856,0.906,7.19940044508561e-190,-1.3281937169039
Slc25a3,5.93736318285811e-222,-0.409813958827025,0.205,0.379,1.91563085731734e-217,-1.32851448590658
Akr1c21,6.5763484479661e-134,-0.41352847011261,0.441,0.57,2.12179306325178e-129,-1.3319394233783
Fam13a,1.39443513444673e-185,-0.414962146708147,0.384,0.545,4.49900551777894e-181,-1.33326369458941
Ldc1,6.05688101469519e-182,-0.423570781078705,0.096,0.22,1.95419209058126e-177,-1.34124312974547
Eci3,2.34724399083247e-193,-0.426759312425673,0.231,0.384,7.57314801202187e-189,-1.34421071819863
Ntn4,1.18691986376696e-158,-0.426869355284074,0.29,0.43,3.82947824845771e-154,-1.34431325298739
Slco3a1,4.326140424001e-269,-0.433212863911178,0.707,0.895,1.39578594639968e-264,-1.3502371925499
Slc22a4,2.46178571524346e-141,-0.433656130109976,0.374,0.499,7.9427054316615e-137,-1.35065211493244
Tasor,4.35562239983737e-175,-0.434706367611335,0.686,0.781,1.40529801108353e-170,-1.35163570599057
Macrod2,1.30467464630828e-198,-0.438202588087107,0.88,0.909,4.20940227884904e-194,-1.35491522587782
Bcl11b,2.98304422643328e-139,-0.438437199652694,0.412,0.539,9.62449389216434e-135,-1.35513558057618
Nfyc,2.8178376545806e-203,-0.439381143591163,0.794,0.85,9.09147140873884e-199,-1.35602252518205
Akr1d1,8.15151536104364e-169,-0.439945326677707,0.153,0.287,2.63000491608712e-164,-1.35655291764994
Rsrp1,6.01521026321673e-168,-0.441916519764041,0.513,0.654,1.94074743932425e-163,-1.35840767925029
Ints6,2.60609839020137e-176,-0.45258776940872,0.45,0.585,8.40831584614571e-172,-1.36849272893655
Depdc1b,1.87765276727872e-267,-0.454158007490527,0.093,0.246,6.05805888834807e-263,-1.36998301564091
Arhgap18,2.35839719986986e-191,-0.456140390445515,0.655,0.759,7.60913272566013e-187,-1.37186678015491
Ghr,1.22572348786379e-133,-0.457962694063899,0.966,0.98,3.95467426124372e-129,-1.37360071371025
Ranbp3l,2.47625995487374e-208,-0.460029223574072,0.428,0.582,7.98940511840463e-204,-1.37556968172436
Gm32569,6.51116328945775e-165,-0.465108901332106,0.319,0.447,2.10076172371065e-160,-1.38042155010332
P3h2,7.57398530121595e-254,-0.467422127471099,0.746,0.876,2.44367061758431e-249,-1.38263670196208
AY036118,3.17694084463353e-62,-0.469510797305657,0.264,0.337,1.02500819411256e-57,-1.38463987169994
Atp11a,9.10181894216679e-180,-0.470624276941056,0.552,0.713,2.93661086350069e-175,-1.38570895655941
Spink1,2.44282601731684e-299,-0.470760113316627,0.037,0.171,7.88153386227105e-295,-1.38583943357537
Dusp11,1.0109043953073e-202,-0.478546099560148,0.531,0.645,3.26158194101948e-198,-1.39333879773198
Itm2b,4.32274194199341e-289,-0.478765407529419,0.078,0.235,1.39468946016475e-284,-1.39355061902479
Gm42397,4.71213460749018e-207,-0.481666893090418,0.626,0.8,1.52032310976063e-202,-1.3963560876332
Slc22a18,2.42883037388857e-204,-0.484837740889348,0.502,0.626,7.83637831831407e-200,-1.39942846380118
Hnf1aos1,1.9980181624995e-105,-0.486972916820622,0.622,0.682,6.4464057994884e-101,-1.40150113897227
Gphn,0,-0.494424981165733,0.972,0.99,0,-1.408759150314
Plxdc2,0,-0.496144189799436,0.936,0.977,0,-1.41043891940956
Erc2,1.31058717001285e-196,-0.497881560368998,0.679,0.807,4.22847844532947e-192,-1.41213846857018
Spp1,3.20062986696859e-271,-0.498998041065439,0.007,0.1,1.03265122027875e-266,-1.41323172495304
Parp8,7.07296626319084e-268,-0.503899087956212,0.359,0.556,2.28202183515589e-263,-1.41804084465122
Slco1a1,2.02510183596791e-111,-0.504580758484686,0.103,0.196,6.53378856356686e-107,-1.418711024438
D10Wsu102e,3.01686601093628e-163,-0.50499075784817,0.238,0.375,9.73361649768481e-159,-1.41911426508193
Timd2,0,-0.508208411658368,0.089,0.259,0,-1.42228285866288
Fras1,7.07314606174462e-189,-0.513414495501604,0.323,0.466,2.28207984536129e-184,-1.42742455500363
Dst,3.13647198916375e-259,-0.517229102522399,0.663,0.804,1.01195132258379e-254,-1.43120377966762
Met,9.63774333712148e-190,-0.520477119170224,0.477,0.601,3.10952151028887e-185,-1.43442955524152
Sema5a,3.64612023377411e-240,-0.522276377108052,0.371,0.529,1.17638423222488e-235,-1.43621962088291
Them7,0,-0.527241755945706,0.889,0.943,0,-1.44117122920147
Cyp2e1,4.27112091712639e-161,-0.535053193664849,0.335,0.474,1.37803445270166e-156,-1.44899557954221
Slc22a28,9.52866671420858e-234,-0.539597738109475,0.73,0.816,3.07432902867226e-229,-1.45356716748211
Gcnt1,1.37235650972608e-280,-0.544490535309528,0.823,0.876,4.42777104298023e-276,-1.45850520549166
Gm19951,1.72997768856029e-216,-0.555859244711897,0.372,0.529,5.5816000143709e-212,-1.47004390583597
Slc18a1,2.00111312764141e-85,-0.560724144749798,0.641,0.691,6.45639139502224e-81,-1.47500939609473
Camta1,1.6634534034754e-124,-0.562949096072667,0.327,0.43,5.36696606097302e-120,-1.4772859382334
Slc15a2,0,-0.564207570205273,0.28,0.484,0,-1.47857514848779
Il15,1.45212253289443e-229,-0.565458116122485,0.468,0.617,4.6851281401306e-225,-1.47985735136072
Pcdh17,7.56849811064431e-304,-0.594440200881409,0.165,0.357,2.44190023041828e-299,-1.50988660088094
Ctnna2,1.85158365825781e-228,-0.62501642675984,0.308,0.499,5.97394951500301e-224,-1.54222838537062
Gm13936,4.49758905128862e-247,-0.628395776856288,0.213,0.396,1.45110213150776e-242,-1.54584511531531
Nlrp6,0,-0.648256880964119,0.414,0.602,0,-1.56727341198563
Dach1,0,-0.668162073736687,0.413,0.638,0,-1.58904730525494
Slc7a13,3.24663143347165e-139,-0.732338824840483,0.357,0.489,1.04749316569529e-134,-1.66133017486875
Itgb6,0,-0.769883309725218,0.246,0.519,0,-1.70513186086567
Gpx3,0,-0.823129970354591,0.029,0.169,0,-1.76924025183429
Naaladl2,0,-0.861012571125294,0.363,0.581,0,-1.81631266206883
Gm26917,0,-0.989222067955249,0.785,0.918,0,-1.98511428611511
Sox2ot,0,-1.00588243326229,0.303,0.522,0,-2.00817143180571
Camk1d,0,-1.17197899094595,0.64,0.931,0,-2.25320564474907
Lars2,0,-2.01441412764447,0.027,0.593,0,-4.04016475893817
Cmss1,0,-2.11068505691159,0.628,0.947,0,-4.31896329845883
Gm42418,0,-2.41797134633984,0.88,0.998,0,-5.34419017045646
